rmp,oil,ipac,ipcn,euro,time
99.965952649955,22.49203649059809,85.03951386472011,25.68744732492613,.7568398071407024,1995q1
94.44055983702289,23.61631333537433,85.1582451840045,26.78929698836653,.7138606116073484,1995q2
97.42389612610098,21.39733928737557,84.9355489818748,27.78517045903385,.732297796843284,1995q3
91.73926134082697,22.04398334002409,85.81396933434711,28.90946909050307,.7279978321224237,1995q4
87.7279060435137,23.92156667256553,86.4565105388174,30.10433531081801,.750821901699023,1996q1
85.23928900359044,25.36870995227518,86.5590445438701,31.25468208386527,.7783242919885676,1996q2
77.03561700361303,26.37723911115914,87.301251698451,32.32753007930877,.7658436571685678,1996q3
77.40671202792267,29.28221449860779,88.6168093861947,33.61601000212488,.7825219983331885,1996q4
84.71541210032937,26.91724921024362,89.6571416824698,34.80470022661163,.8480338270708599,1997q1
85.86988264293457,23.48415852855722,91.04154603626471,36.0624602366037,.8762724776693271,1997q2
85.74614048200047,23.6945202021452,91.74322442811631,37.17001699911023,.9245691087671219,1997q3
78.50829220357564,23.82604272885963,92.7001963294415,38.35950867399529,.8975626716023376,1997q4
73.97311318320122,18.90398266796078,93.3339841496412,39.36009326202263,.9301268515157248,1998q1
71.4288593994691,17.5899013645681,92.7350770421462,40.28593665381848,.9170889085452213,1998q2
69.00715201061659,16.83748929984247,92.88221950805379,41.16146246866097,.9014842803311126,1998q3
66.58354718751474,15.29168945440731,93.2757445148447,42.22457686325597,.8501096721085166,1998q4
63.71646422486896,15.39766621689111,94.30185484467761,43.60851553164363,.89093,1999q1
66.91576756875664,20.79286655254634,94.8538076329435,44.60082879242695,.94631,1999q2
72.1597887877878,25.96524377988472,96.20449577095739,45.6613607130022,.95396,1999q3
74.83879619730041,29.97283434486848,97.95028666491881,46.56049531815878,.96331,1999q4
79.11830129481586,33.73229705970918,99.49202278879309,47.73917986881506,1.01357,2000q1
73.07111376557361,32.99006126324599,100.589477822363,49.13160144117948,1.07134,2000q2
74.51449681432682,36.53240769082252,101.097926662289,50.61522607708363,1.10584,2000q3
70.83567536431163,35.72083068161231,101.368358383214,52.07851281136401,1.15086,2000q4
69.76355732263943,31.18678343130366,100.688459603728,53.54393017036278,1.08366,2001q1
67.81460458012091,31.82278229463572,98.58012158608619,55.00930989044732,1.14592,2001q2
63.25370879607228,30.53386599945711,97.0248559015686,56.20013683275447,1.12359,2001q3
62.881807643512,24.1452167534962,95.29871886539431,57.40239008919423,1.11686,2001q4
66.6258411860311,26.10103634851691,96.2798818821858,58.96353439014592,1.14121,2002q1
66.1225241092568,30.87843593001097,97.85414169531811,60.83017356713071,1.08886,2002q2
63.55237833379159,33.01413013592187,98.61996641734839,62.85534289233391,1.01677,2002q3
64.46089680200235,32.61162710372792,98.0703359239586,65.18107666737052,1.00336,2002q4
65.79007684509767,37.31645379088418,95.37903945473229,68.03933145010596,.93184,2003q1
65.78507389383019,31.61581863852669,94.5228950907924,70.66869522762592,.88135,2003q2
68.81394847754885,33.4293997407575,94.5869583570164,73.66928400095394,.88967,2003q3
76.15011819128335,34.24777550552069,96.22957939245219,77.00876077213906,.84128,2003q4
87.76918215115487,37.18230833345324,97.6886409625023,80.27186545631832,.79977,2004q1
85.2931396466247,39.72846340179949,98.0091561809557,83.88268299583186,.83052,2004q2
86.91619759285743,45.54862986399879,97.70245598887389,87.26962303525498,.81841,2004q3
90.59762822865974,48.35300048213537,98.1100327860552,90.59682711620052,.77276,2004q4
99.60015153459834,50.3510965556931,99.4651172165653,93.94903380284957,.76057,2005q1
98.14613556708326,53.30412808480862,100.265169180782,97.89732169888616,.79432,2005q2
97.94933846428502,61.7929403130145,99.6114754193881,101.9435462210698,.82013,2005q3
104.0944972409565,56.01912170447578,100.593292364438,106.2100982771945,.84146,2005q4
123.4145633884537,60.55666763369113,102.362939909103,109.6180928505963,.8319800000000001,2006q1
149.5522586907492,66.75518399741156,102.972562670558,114.6635790717842,.79625,2006q2
155.7185885996469,66.33680801442749,103.133098774215,119.3928351027357,.78491,2006q3
167.7746025048428,57.40261608392949,103.961347559688,123.8827980519513,.77542,2006q4
166.3550784163763,54.80964790527717,105.63900702608,128.3810367702,.76315,2007q1
183.5827148126224,60.87760120213105,105.974410777195,134.3908965300001,.74176,2007q2
166.5092672316128,68.21044999320252,106.046340001308,140.6234768545092,.72766,2007q3
152.3596621957278,79.69626002412888,106.954196625431,146.9245502844922,.68997,2007q4
162.7222531352994,83.30120275649531,107.544117386023,152.9971343752036,.66727,2008q1
154.1204908290771,98.95682759949889,106.301248640079,159.2012605876716,.64027,2008q2
137.9425412802977,91.70389679729271,103.688632278189,164.4466072683859,.6661,2008q3
104.6397722550814,50.5412478228965,97.5439762897005,167.1128264268405,.75706,2008q4
99.95265019636241,40.82142625035976,88.9962395843998,171.3861489508807,.76817,2009q1
110.7834490868335,54.4914195421306,88.7292306644098,175.2714546695879,.73517,2009q2
136.566421031667,61.82365881479605,91.3996125855525,180.7598205235074,.6992,2009q3
148.5785975495822,67.20114957869542,92.56014623506709,189.0325441758849,.67683,2009q4
165.2246457625507,67.12140467360013,94.4216178560381,196.059697442328,.72241,2010q1
171.5108331624633,66.86854965484245,96.5471954574061,204.0610454828748,.7871,2010q2
164.6894341102453,64.96624098480844,97.0591754819277,211.065643482207,.77451,2010q3
187.6918311132693,71.9602146666555,97.9574702033559,218.2015532064194,.73617,2010q4
199.753334404628,79.87718945846056,98.2368686613855,226.4828425319812,.73183,2011q1
186.7983865982568,84.85658651171417,97.9513569442548,234.4914652363032,.69481,2011q2
